labels,path
femaleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
femaleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
femaleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
maleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
maleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
malesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
maleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
malesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
maledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
maleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
maleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
malecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
malehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
malefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
femaleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-01-04.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-02-04.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
femalefear,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-02-04.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
femaleneutral,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-01-04.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
femaleangry,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
femalesad,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
femaledisgust,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
femalecalm,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
femalesurprise,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
femalehappy,/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
